StateAbbv,SchoolsTotal,SchoolsWithFCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Pct_FCS_City,Pct_FCS_Suburban,Pct_FCS_TownRural,Pct_FCS_FRLlt24,Pct_FCS_FRL25to49,Pct_FCS_FRL50to74,Pct_FCS_FRLgt75,Schools_FCS_City,Schools_FCS_Suburban,School_FCS_TownRural,Schools_FCS_FRLlt24,Schools_FCS_FRL25to49,Schools_FCS_FRL50to74,Schools_FCS_FRLgt75,Schools_FCS_FRL_Unknown,Est_Schools_City,Est_Schools_Suburban,Est_School_TownRural,Est_Schools_FRLlt24,Est_Schools_FRL25to49,Est_Schools_FRL50to74,Est_Schools_FRLgt75,Est_Schools_FRL_Unknown,Pct_FCS_CitySuburban,Pct_FCS_TownRural2,Pct_FCS_FrlLT50,Pct_FCS_FrlGT50,AvgSizeHave,AvgSizeNot,RS_RuralUrban_FCS_School,RS_RuralUrban_FCS_School_Zscore,RS_FRLInc_FCS_School,RS_FRLInc_FCS_School_Zscore,HaveNotCSHaveCS_Size_Ratio,HaveNotCSHaveCS_Size_Ratio_Zscore
U.S.,26160,13883,0.530695719,17292062,12936013,0.748089673,0.471961899,0.500195725,0.596761876,0.57,0.61,0.51,0.39,3175,6608,4029,3462,4809,3270,2149,193,6727.237956,13210.82861,6751.436652,6073.684211,7883.606557,6411.764706,5510.25641,193,0.490669442,0.596761876,0.592593515,0.454537024,931.7880141,354.8137982,1.216219769,-0.174867363,0.767030034,-0.105471675,0.380788111,-0.435178069
AK,273,138,0.505494505,71857,40767,0.567335124,0.545454545,0.495867769,1,0.51,0.74,0.48,0.46,12,120,6,39,23,15,61,0,22,242,6,76.47058824,31.08108108,31.25,132.6086957,0,0.5,1,0.57646711,0.463814262,295.4130435,230.2962963,2,1.826598961,0.804580615,0.152013187,0.779573893,0.486773224
AL,381,325,0.853018373,271109,235770,0.869650214,0.895833333,0.837545126,0.923076923,0.85,0.88,0.85,0.82,43,232,48,28,99,138,60,0,48,277,52,32.94117647,112.5,162.3529412,73.17073171,0,0.846153846,0.923076923,0.873205258,0.840679825,725.4461538,631.0535714,1.090909091,-0.494861531,0.962751675,1.23659437,0.869883406,0.695559437
AR,305,280,0.918032787,179064,153710,0.858408167,0.886363636,0.925764192,0.954545455,1,0.91,0.94,0.88,39,212,21,9,67,120,84,0,44,229,22,9,73.62637363,127.6595745,95.45454545,0,0.919413919,0.954545455,0.919803165,0.914330299,548.9642857,1014.16,1.038210793,-0.629432249,0.994049959,1.451207146,1.847406154,2.955490469
AZ,602,214,0.355481728,424108,321193,0.757337754,0.385416667,0.271356784,0.505154639,0.35,0.5,0.43,0.2,111,54,49,93,48,54,19,0,288,199,97,265.7142857,96,125.5813953,95,0,0.338809035,0.505154639,0.389810427,0.330943595,1500.901869,265.2448454,1.490971571,0.526740636,0.848986001,0.456501543,0.176723643,-0.90695392
CA,2654,1069,0.402788244,2175509,1514876,0.696331755,0.422155689,0.285081241,0.471875,0.51,0.57,0.39,0.33,423,193,453,155,285,307,319,3,1002,677,960,303.9215686,500,787.1794872,966.6666667,3,0.366885051,0.471875,0.547317073,0.356929825,1417.096352,416.8031546,1.286165787,0.003747246,0.65214451,-0.893243328,0.294124781,-0.635534685
CO,535,306,0.571962617,329163,213554,0.648778872,0.587209302,0.560344828,0.614754098,0.66,0.68,0.39,0.48,101,130,75,109,116,49,32,0,172,232,122,165.1515152,170.5882353,125.6410256,66.66666667,0,0.571782178,0.614754098,0.670161933,0.4212,697.8888889,504.8427948,1.075154354,-0.535092931,0.628504813,-1.055341065,0.723385632,0.356871803
CT,207,160,0.77294686,169269,150360,0.888290236,0.650793651,0.790697674,0.85,0.95,0.81,0.69,0.4,41,34,85,61,43,48,8,0,63,43,100,64.21052632,53.08641975,69.56521739,20,0,0.70754717,0.85,0.8866386,0.625242718,939.75,402.3191489,1.201333333,-0.212881463,0.705183283,-0.529555717,0.428112954,-0.325767949
DC,42,19,0.452380952,21147,10580,0.500307372,0.463414634,0,0,0.45,0,0,0,19,0,0,19,0,0,0,0,41,0,0,42.22222222,0,0,0,0,0.463414634,0,0.45,,556.8421053,459.4347826,,,,,0.825071916,0.591959927
DE,58,23,0.396551724,51457,36733,0.713858173,0,0.631578947,0.407407407,0.4,0,0,0,0,12,11,23,0,0,0,0,0,19,27,57.5,0,0,0,0,0.631578947,0.407407407,0.4,,1597.086957,420.6857143,0.645061728,-1.633380273,,,0.263408146,-0.706548354
