State,StateName,NumOfHS,NumHSWithCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Total_Black,Total_HLLL,Total_Native,Total_HPI,Total_White,Total_Asian,Total_TwoPlus,InCSHS_Black,InCSHS_HLLL,InCSHS_Native,InCSHS_HPI,InCSHS_White,InCSHS_Asian,InCSHS_TwoPlus,InFCS_Male,InFCS_Female,InFCS_Other,InFCS_Black,InFCS_HLLL,InFCS_Native,InFCS_HPI,InFCS_White,InFCS_Asian,InFCS_TwoPlus,InFCS_Total,AP_Male,AP_Female,AP_Gender,AP_Black,AP_HLLL,AP_Native,AP_HPI,AP_White,AP_Asian,AP_TwoPlus,AP_Total
AK,Alaska,273,138,0.505494505,71857,40767,0.567335124,1398,4018,20169,1478,34738,2784,7272,1005,3047,11611,1132,26694,2223,5493,,,,,,,,,,,,80,20,0,1,3,3,0,72,12,9,100
AL,Alabama,381,325,0.853018373,271109,235770,0.869650214,79141,22218,3579,316,156735,3762,5358,68122,20343,3283,280,134909,3464,4643,9096,5857,0,4774,1543,537,31,8550,441,408,14953,1527,852,20,297,174,34,2,1559,202,131,2399
AR,Arkansas,305,280,0.918032787,179064,153710,0.858408167,33503,24770,1078,1726,109538,2989,5460,29429,22481,967,1691,99520,2615,4923,9494,4003,0,2520,1596,74,37,8266,574,430,13497,985,414,7,96,155,15,5,895,172,67,1406
AZ,Arizona,602,214,0.355481728,424108,321193,0.757337754,23254,184157,19889,1690,165895,15326,13897,14775,117245,7775,1071,114730,11852,8581,6507,1772,0,476,3313,172,0,3334,434,352,8279,1157,421,9,46,348,20,2,670,423,79,1587
CA*,California,2654,1069,0.402788244,2175509,1514876,0.696331755,116456,1177182,11623,9689,513069,250889,96601,82265,840710,7038,7373,400791,221524,74813,,,,,,,,,,,,21386,9737,65,593,7005,106,97,7198,14338,1853,31189
CO,Colorado,535,306,0.571962617,329163,213554,0.648778872,14038,110570,2214,877,176558,11158,13748,11053,77281,1630,696,143126,9814,11280,,,,,,,,,,,,1903,674,7,50,344,13,5,1626,378,168,2584
CT,Connecticut,207,160,0.77294686,169269,150360,0.888290236,24609,43893,474,174,86643,8004,5472,18618,34208,371,143,78457,7660,4738,6772,2188,0,941,1733,12,9,4867,1101,297,8960,2276,968,7,145,345,9,1,1812,793,147,3251
DC,District of Columbia,42,19,0.452380952,21147,10580,0.500307372,14116,4299,35,10,1902,329,456,7197,2896,18,4,1447,236,284,,,,,,,,,,,,227,125,0,132,51,1,0,117,26,25,352
DE,Delaware,58,23,0.396551724,51457,36733,0.713858173,14732,8990,269,69,22857,2603,1937,7837,4585,135,37,15302,1771,1132,1539,567,0,562,261,11,4,925,254,89,2106,400,113,0,75,41,4,0,249,109,34,513
FL,Florida,1255,500,0.398406375,988729,695364,0.70329079,209196,330876,2956,1642,380605,28491,34963,149022,252878,2030,1315,287976,24042,26008,18181,7488,0,3485,7792,76,51,10520,2786,959,25669,10206,4623,36,1293,4673,94,28,6170,2007,598,14864
GA,Georgia,513,338,0.658869396,556485,455072,0.817761485,202208,89873,1042,614,218363,24584,19801,167619,76844,891,504,188141,23364,17400,14186,5680,0,6298,2362,49,22,6767,3638,730,19866,5085,2123,13,802,676,36,9,3000,2389,309,7221
HI*,Hawaii,65,50,0.769230769,60893,51658,0.848340532,833,7305,169,19123,7574,18752,7137,777,6773,141,15946,6813,17958,6507,1698,535,0,30,282,0,307,291,949,323,2233,546,236,0,3,93,3,22,99,344,218,782
IA,Iowa,355,252,0.709859155,167016,119470,0.715320688,9953,18452,606,551,127152,3937,6365,7726,13629,359,428,101236,3219,4975,5661,1405,0,264,611,26,13,5425,426,304,7066,395,124,2,26,33,1,0,343,95,24,521
ID,Idaho,269,101,0.375464684,127590,68501,0.536883768,1379,22163,1456,378,96817,1623,3774,1045,14278,652,258,62904,1260,2355,1299,427,0,9,294,5,0,1297,69,43,1726,318,111,0,3,37,5,1,309,53,21,429
IL,Illinois,999,435,0.435435435,620340,495575,0.798876423,100225,167685,1409,667,297251,32541,20562,78602,150470,1232,593,238270,31206,17385,,,,,,,,,,,,5860,2705,7,501,1766,39,2,3479,2421,364,8572
IN,Indiana,406,347,0.854679803,365052,298828,0.818590228,46354,46184,731,324,246086,8569,16804,41201,41479,668,305,227491,8029,15498,16525,4774,0,2641,2521,37,15,14020,1048,1017,21299,2202,671,10,159,268,25,0,1916,400,115,2883
KS,Kansas,364,144,0.395604396,161625,90606,0.560593968,10492,31702,1463,306,104907,4472,8283,7142,20575,706,193,61551,3224,5255,4033,709,0,229,828,10,0,2964,424,195,4742,200,35,1,6,33,2,1,123,56,16,236
KY,Kentucky,489,309,0.63190184,214321,174334,0.813424723,23412,15457,296,270,163035,4003,7848,22061,14583,274,253,152759,3868,7216,15234,6131,0,2366,1501,42,22,15842,862,735,21365,995,460,7,39,73,13,0,1063,213,60,1462
LA,Louisiana,392,127,0.323979592,250942,110222,0.43923297,100770,17536,1873,200,120061,4260,6242,48269,7928,693,89,52613,2712,2619,2775,1803,0,2233,260,0,0,1779,231,61,4578,766,416,9,211,110,16,2,676,109,67,1191
MA,Massachusetts,389,302,0.776349614,327732,293386,0.895200957,35857,70292,822,307,187057,21969,11428,28724,54205,695,271,164164,19923,9641,13682,5443,20,1748,2804,52,13,10980,2842,706,19145,3819,1609,23,377,502,29,4,2945,1339,254,5451
MD,Maryland,226,221,0.977876106,276026,260194,0.942643084,94774,50462,628,392,99196,18913,11661,86326,46444,593,377,96493,18458,11240,22631,16689,0,13828,5586,22,0,13222,4691,1677,39320,4930,2711,21,1002,597,38,5,3401,2156,462,7662
ME,Maine,126,76,0.603174603,54104,39053,0.721813544,2107,1377,430,35,48024,855,1276,2019,1191,332,33,40568,795,1129,,,,,,,,,,,,175,66,1,2,19,2,0,178,31,9,242
MI,Michigan,1314,605,0.46042618,549563,393133,0.715355655,92966,45009,5316,480,366925,17617,21250,57964,33997,3562,345,280115,14867,15748,,,,,,,,,,,,3160,1337,7,130,227,16,3,3083,929,115,4504
