StateAbbv,StateName,TotalStudents,PctHSwFCS,PctStudentsHSwCS,Pct_InFCS,Pct_InAP,CP_StHSCS_HSCS_All,CP_StFCS_StHSCS_All,CP_StAP_StFCS_All,CP_StAP_StHSCS_All,RS_FemaleMaleEst_CP_StFCS_StHSCS,RS_FemaleMale_CP_StAP_StFCS,RS_FemaleMaleEst_CP_StAP_StHSCS,RS_BlackWhite_CP_StHSCS_HSCS,RS_BlackWhite_CP_StFCS_StHSCS,RS_BlackWhite_CP_StAP_StFCS,RS_BlackWhite_CP_StAP_StHSCS,RS_HLLLWhite_CP_StHSCS_HSCS,RS_HLLLWhite_CP_StFCS_StHSCS,RS_HLLLWhite_CP_StAP_StFCS,RS_HLLLWhite_CP_StAP_StHSCS,ZScore_PctHSwFCS,ZScore_PctStudentsHSwCS,ZScore_Pct_InFCS,ZScore_Pct_InAP,ZScore_CP_StHSCS_HSCS_All,ZScore_CP_StFCS_StHSCS_All,ZScore_CP_StAP_StFCS_All,ZScore_CP_StAP_StHSCS_All,ZScore_RS_FemaleMaleEst_CP_StFCS_StHSCS,ZScore_RS_FemaleMale_CP_StAP_StFCS,ZScore_RS_FemaleMaleEst_CP_StAP_StHSCS,ZScore_RS_BlackWhite_CP_StHSCS_HSCS,ZScore_RS_BlackWhite_CP_StFCS_StHSCS,ZScore_RS_BlackWhite_CP_StAP_StFCS,ZScore_RS_BlackWhite_CP_StAP_StHSCS,ZScore_RS_HLLLWhite_CP_StHSCS_HSCS,ZScore_RS_HLLLWhite_CP_StFCS_StHSCS,ZScore_RS_HLLLWhite_CP_StAP_StFCS,ZScore_RS_HLLLWhite_CP_StAP_StHSCS
AK,Alaska,71857,0.505494505,0.567335124,,0.001391653,1.122336877,,,0.002452964,,,0.260204082,0.93551347,,,0.368905473,0.986855751,,,0.365031178,-0.504637527,-1.576098119,,-1.200286019,-0.59522885,,,-1.159002828,,,-1.436503237,-0.258964934,,,-0.316575639,0.10684672,,,-0.72710581
AL,Alabama,271109,0.853018373,0.869650214,0.055154938,0.008848839,1.019497635,0.063421979,0.160436033,0.010175171,0.670191427,0.866514402,0.580730524,1.000025148,1.105782807,0.341188225,0.377280073,1.063739048,1.19681145,0.618448188,0.740165873,1.388321849,0.963304483,-0.021227809,0.096241591,-0.862153802,-0.140436524,-0.16329775,-0.086421067,1.327637006,-0.584671048,1.629056808,0.241488354,0.89079542,-0.735273775,-0.302995485,0.995704514,1.753443872,-0.311436188,0.047558562
AR,Arkansas,179064,0.918032787,0.858408167,0.075375285,0.007851941,0.935051753,0.08780821,0.104171297,0.009147095,0.438844297,0.996845259,0.437459857,0.966821384,1.030955695,0.351838255,0.362729653,0.998950707,0.854736456,0.896956077,0.766661059,1.742454776,0.86887293,0.453002687,-0.077081958,-1.081337768,0.420380574,-0.614607813,-0.229216407,-0.017348956,-0.059599801,0.258795967,-0.016091878,0.604797193,-0.704060602,-0.326590277,0.24667808,-0.135081261,0.023674723,0.102271913
AZ,Arizona,424108,0.355481728,0.757337754,0.019520971,0.003741971,2.130454801,0.02577578,0.191689818,0.004940955,0.283437303,1.336182643,0.378724005,0.918726249,1.10864081,0.480885489,0.533129277,0.920581838,0.972385565,0.522695307,0.508261371,-1.321755771,0.019896222,-0.856955976,-0.791652972,2.021397092,-1.006196882,0.087394756,-0.813431538,-0.920840711,1.307507781,-0.302961998,-0.38919283,0.901719051,-0.325848191,-0.050272233,-0.659354609,0.514435081,-0.426649569,-0.431331175
CA,California,2175509,0.402788244,0.696331755,,0.014336415,1.728778745,,,0.020588484,,,0.473881444,0.904296911,,,0.40137074,0.914240413,,,0.463946652,-1.064077605,-0.492545259,,1.050327067,0.978824628,,,1.359944032,,,0.60713716,-0.501129297,,,-0.26393034,-0.732668652,,,-0.522842398
CO,Colorado,329163,0.571962617,0.648778872,,0.007850214,1.134302929,,,0.012099984,,,0.368633843,0.971278552,,,0.398187688,0.862192598,,,0.391817385,-0.14258632,-0.891982531,,-0.07738225,-0.564170298,,,0.180927359,,,-0.399465721,0.018484875,,,-0.269091941,-1.334400212,,,-0.671791491
CT,Connecticut,169269,0.77294686,0.888290236,0.052933496,0.019206116,1.149225493,0.059590317,0.362834821,0.021621442,0.336282652,1.316354103,0.442667049,0.835489205,0.81475484,0.413886758,0.337216239,0.860665118,0.816659899,0.534716623,0.436681623,0.952173039,1.119877945,-0.073327568,1.896987038,-0.525437958,-0.228554356,1.460181133,1.503417533,-0.613612984,1.227623425,0.308598287,-1.034909283,-0.221548499,-0.522208475,-0.36796253,-1.352059602,-0.345294039,-0.41218508,-0.579145497
DC,District of Columbia,21147,0.452380952,0.500307372,,0.016645387,1.105942613,,,0.033270321,,,0.573136744,0.670165142,,,0.226832405,0.885468455,,,0.217798201,-0.793946571,-2.139121446,,1.451771488,-0.637781072,,,3.121397574,,,1.556428823,-2.317420818,,,-0.546959667,-1.065305003,,,-1.031146315
DE,Delaware,51457,0.396551724,0.713858173,0.040927376,0.009969489,1.800164089,0.057332644,0.243589744,0.013965644,0.383458647,0.766785714,0.294030612,0.794619406,1.186295638,0.495755263,0.588112306,0.761817034,0.941689292,0.583560295,0.549532481,-1.098047873,-0.345325908,-0.354908703,0.291080926,1.164109245,-0.280474702,0.503693858,0.440059619,-0.339345265,-0.986453615,-1.112981534,-1.351959249,1.198525153,-0.282267766,0.038887605,-2.494855168,0.344967324,-0.353414582,-0.346105098
FL,Florida,988729,0.398406375,0.70329079,0.025961613,0.015033442,1.765259881,0.036914479,0.579064241,0.021375855,0.428669086,1.099816575,0.471457366,0.941488904,0.640166509,0.63259582,0.404966658,1.01009908,0.843487112,1.022533189,0.862493566,-1.087945606,-0.434090381,-0.705902735,1.171514134,1.073513438,-0.750037037,3.194598117,1.469306549,-0.076504718,0.355246523,0.583952932,-0.212610142,-0.888846112,0.118785366,-0.258099241,0.375565862,-0.197186559,0.174773711,0.300168909
