Metric,NatMean
PctHSwFCS,0.5307
PctStudentsHSwCS,0.7481
Pct_InFCS,0.0559
Pct_InAP,0.0105
Pct_InFCS_Female,0.3154
Pct_InAP_Female,0.3058
Pct_InFCS_Male,0.6843
Pct_InAP_Male,0.6916
Pct_Students_Black,0.1472
Pct_HSwFCS_Black,0.1422
Pct_InFCS_Black,0.165
Pct_InAP_Black,0.0632
Pct_Students_HLLL,0.2717
Pct_HSwFCS_HLLL,0.2697
Pct_InFCS_HLLL,0.2019
Pct_InAP_HLLL,0.1649
Pct_Students_White,0.4752
Pct_HSwFCS_White,0.4989
Pct_InFCS_White,0.4889
Pct_InAP_White,0.4268
CP_StHSCS_HSCS_All,1.4096
CP_StFCS_StHSCS_All,0.0729
CP_StAP_StFCS_All,0.1834
CP_StAP_StHSCS_All,0.014
CP_StFCS_StHSCS_FemaleEst,0.0469
CP_StAP_StFCS_Female,0.1795
CP_StAP_StHSCS_FemaleEst,0.0087
CP_StFCS_StHSCS_MaleEst,0.0978
CP_StAP_StFCS_Male,0.1845
CP_StAP_StHSCS_MaleEst,0.019
CP_StHSCS_HSCS_Black,0.7227
CP_StFCS_StHSCS_Black,0.0751
CP_StAP_StFCS_Black,0.0852
CP_StAP_StHSCS_Black,0.0062
CP_StHSCS_HSCS_HLLL,0.7427
CP_StFCS_StHSCS_HLLL,0.0576
CP_StAP_StFCS_HLLL,0.1513
CP_StAP_StHSCS_HLLL,0.0086
CP_StHSCS_HSCS_White,0.7854
CP_StFCS_StHSCS_White,0.0711
CP_StAP_StFCS_White,0.1652
CP_StAP_StHSCS_White,0.012
RS_MaleFemaleEst_CP_StFCS_StHSCS,0.4798
RS_FemaleMale_CP_StAP_StFCS,0.9731
RS_FemaleMaleEst_CP_StAP_StHSCS,0.4603
RS_BlackWhite_CP_StHSCS_HSCS,0.9201
RS_BlackWhite_CP_StFCS_StHSCS,1.0551
RS_BlackWhite_CP_StAP_StFCS,0.5157
RS_BlackWhite_CP_StAP_StHSCS,0.5191
RS_HLLLWhite_CP_StHSCS_HSCS,0.9456
RS_HLLLWhite_CP_StFCS_StHSCS,0.8099
RS_HLLLWhite_CP_StAP_StFCS,0.9162
RS_HLLLWhite_CP_StAP_StHSCS,0.7149
