StateAbbv,SchoolsTotal,SchoolsWithFCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Pct_FCS_City,Pct_FCS_Suburban,Pct_FCS_Town,Pct_FCS_Rural,Pct_FCS_FRLlt24,Pct_FCS_FRL25to49,Pct_FCS_FRL50to74,Pct_FCS_FRLgt75,Schools_FCS_City,Schools_FCS_Suburban,School_FCS_Town,Schools_FCS_Rural,Schools_FCS_FRLlt24,Schools_FCS_FRL25to49,Schools_FCS_FRL50to74,Schools_FCS_FRLgt75,Schools_FCS_FRL_Unknown,RS_RuralUrban_FCS_School,RS_RuralUrban_FCS_School_Zscore,RS_FRLInc_FCS_School,RS_FRLInc_FCS_School_Zscore,HaveNotCSHaveCS_Size_Ratio,HaveNotCSHaveCS_Size_Ratio_Zscore
U.S.*,26326,13504,0.512952974,16649450,12936013,0.776963383,0.48,0.61,0.46,0.49,0.57,0.61,0.49,0.41,3248,4054,1772,4430,3056,4631,3074,2111,632,0.883584779,,0.764894546,,0.302330717,
AK,296,124,0.418918919,61187,40767,0.666276386,0.4,0.71,0.49,0.4,0.4,0.58,0.58,0.37,10,5,18,91,36,21,18,49,0,0.881187751,0.111664169,0.907513653,0.775178686,0.361110588,-0.088790833
AL,407,332,0.815724816,262216,235770,0.899145492,0.81,0.88,0.78,0.81,0.9,0.86,0.85,0.88,46,50,38,198,28,96,138,65,5,0.952670228,0.403085688,1.002956561,1.361314975,0.496533175,0.88775572
AR,306,283,0.924836601,159278,153710,0.965041995,0.88,0.96,1,0.91,1,0.92,0.95,0.88,42,22,58,161,9,69,121,84,0,1.028995249,0.714249414,0.990783106,1.286555055,0.445713413,0.521289057
AZ,867,333,0.384083045,407289,321193,0.788611084,0.46,0.49,0.19,0.29,0.38,0.64,0.52,0.37,180,72,28,53,115,63,65,35,55,0.524061032,-1.34427882,0.972960805,1.17710431,0.167155195,-1.487423621
CA,2633,1069,0.40600076,2013095,1514876,0.752511115,0.43,0.47,0.26,0.31,0.53,0.58,0.39,0.33,424,453,83,109,155,284,307,319,4,0.636337281,-0.886548247,0.637753153,-0.881480996,0.224793711,-1.071786207
CO,533,226,0.424015009,323033,213554,0.6610918,0.41,0.5,0.43,0.38,0.52,0.49,0.28,0.33,72,62,26,66,83,86,34,23,0,0.8785087,0.100742147,0.591394135,-1.166182119,0.377392422,0.028619186
CT,209,171,0.818181818,169150,150360,0.888917291,0.68,0.91,0.6,0.88,0.98,0.85,0.69,0.65,45,91,6,29,63,47,48,13,0,0.995610663,0.57814631,0.740381748,-0.251215794,0.562350359,1.362370374
DC,43,16,0.372093023,20826,10580,0.508005973,0.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,0,0,0,n/a,n/a,n/a,n/a,16,,,,,0.573885038,1.445548161
DE,55,30,0.545454545,49864,36733,0.73666908,0.18,0.54,0.8,0.77,N/A,N/A,N/A,N/A,2,14,4,10,n/a,n/a,n/a,n/a,30,1.801711459,3.864477859,,,0.42896578,0.400520111
FL,1280,480,0.375,932983,695364,0.74531249,0.35,0.45,0.28,0.3,0.25,0.53,0.48,0.32,126,250,35,69,68,184,148,65,15,0.71334865,-0.572586405,1.032969984,1.545634126,0.205031322,-1.21429488
GA,511,313,0.612524462,544289,455072,0.836084737,0.57,0.76,0.48,0.56,0.72,0.82,0.66,0.42,51,128,39,95,47,94,88,84,0,0.76949526,-0.343686522,0.658401084,-0.754677426,0.309917891,-0.457946769
HI,64,46,0.71875,59099,51658,0.874097303,0.64,0.83,0.74,0.63,0.83,0.73,0.63,0.83,7,15,14,10,10,16,15,5,0,0.909608589,0.227530941,0.875780173,0.580296276,0.36811121,-0.03830861
IA,353,227,0.64305949,164316,119470,0.727074463,0.64,0.82,0.64,0.63,0.78,0.65,0.55,0.33,25,14,51,137,53,135,35,4,0,0.91066703,0.23184602,0.754787234,-0.162748479,0.67627006,2.183857352
ID,262,104,0.396946565,114591,68501,0.597784488,0.53,0.37,0.42,0.35,0.41,0.46,0.27,0.22,21,16,24,43,35,56,10,2,1,0.833635778,-0.082196885,0.575602778,-1.263160376,0.44287998,0.500856874
IL,994,425,0.427565392,616175,495575,0.80427692,0.48,0.54,0.37,0.29,0.58,0.47,0.3,0.39,129,151,69,76,106,154,61,100,4,0.633104128,-0.899729246,0.686542276,-0.581856058,0.181766808,-1.382057738
IN,415,308,0.742168675,342616,298828,0.872194322,0.62,0.79,0.84,0.75,0.87,0.8,0.7,0.38,64,57,58,129,45,167,83,13,0,1.124417958,1.10327106,0.772018876,-0.056925107,0.421794352,0.348806187
KS,365,100,0.273972603,159224,90606,0.569044998,0.73,0.65,0.25,0.17,0.34,0.24,0.27,0.41,30,13,18,39,21,43,25,11,0,0.268694143,-2.385364835,1.134833238,2.171199198,0.285782232,-0.631991552
KY,405,207,0.511111111,214207,174334,0.813855348,0.48,0.63,0.46,0.53,0.31,0.59,0.56,0.27,37,34,54,82,10,72,112,13,0,0.922531235,0.280214301,0.947825582,1.022743273,0.239112331,-0.96853313
LA,398,117,0.293969849,244519,110222,0.450770848,0.35,0.39,0.33,0.22,0.4,0.37,0.28,0.16,37,23,20,37,8,50,46,10,3,0.683839604,-0.692889608,0.663966839,-0.72049688,0.507314839,0.965503438
MA,387,319,0.824289406,327368,293386,0.896195828,0.73,0.84,0.91,0.89,N/A,N/A,N/A,N/A,56,206,10,47,n/a,n/a,n/a,n/a,319,1.097881591,0.995086947,,,0.543364574,1.225461874
MD,242,218,0.900826446,270650,260194,0.961367019,0.9,0.9,1,0.89,0.94,0.96,0.82,0.73,60,106,10,42,63,86,61,8,0,1.010259769,0.637868145,0.849705001,0.420162798,0.365017384,-0.060618513
ME,126,76,0.603174603,54378,39053,0.718180358,0.8,0.81,0.55,0.55,0.75,0.59,0.52,N/A,8,13,11,44,18,42,16,0,0,0.682245738,-0.699387522,,,0.596471462,1.608421244
MI,1327,580,0.437076112,542475,393133,0.724702436,0.38,0.45,0.4,0.47,0.64,0.62,0.38,0.25,94,194,77,215,94,206,177,75,28,1.058398703,0.834122136,0.529876845,-1.543973579,0.294950987,-0.56587469
MN,1114,267,0.23967684,309507,214306,0.692410427,0.19,0.21,0.25,0.28,0.33,0.36,0.15,0.17,41,57,60,109,101,118,31,16,1,1.335168633,1.962464596,0.449650315,-2.036662683,0.140034495,-1.682993847
MO,634,316,0.498422713,278007,206895,0.744207656,0.53,0.68,0.47,0.46,0.75,0.57,0.5,0.38,42,57,62,155,55,121,83,32,25,0.762327683,-0.372907479,0.740434968,-0.250888962,0.341548876,-0.229852401
MS,252,163,0.646825397,155429,117895,0.758514943,0.91,0.82,0.58,0.64,0.5,0.89,0.72,0.57,10,14,38,101,2,25,63,73,0,0.727743656,-0.51390049,0.749815935,-0.193278343,0.583078544,1.511843501
MT,174,65,0.373563218,42916,27800,0.647772698,0.78,0,0.48,0.33,0.43,0.36,0.44,0.24,7,0,13,45,20,31,8,6,0,0.454942508,-1.626062918,0.843091922,0.379550398,0.324249224,-0.354602013
NC,697,414,0.593974175,519747,406844,0.782772344,0.63,0.68,0.54,0.56,0.73,0.73,0.48,0.38,121,76,56,161,115,172,49,76,2,0.855497269,0.006928583,0.565716714,-1.323872911,0.405967691,0.234678468
ND,169,72,0.426035503,36944,26359,0.713496137,0.7,0.75,0.62,0.38,0.57,0.39,0.13,0.16,7,3,8,54,39,29,1,3,0,0.559969332,-1.19788698,0.317628295,-2.847439489,0.298073038,-0.543361252
NE,269,124,0.460966543,105506,81444,0.771937703,0.95,1,0.67,0.35,0.48,0.48,0.4,0.44,20,8,24,72,20,75,25,4,0,0.412399643,-1.799502716,0.843915344,0.384607217,0.252654077,-0.870882173
NH,100,78,0.78,55167,52063,0.943727114,0.73,0.79,0.65,0.85,0.84,0.75,0.5,N/A,8,23,13,34,48,27,3,0,0,1.01259297,0.647380197,,,0.211380268,-1.168511957
NJ,516,351,0.680232558,449520,393822,0.876094616,0.4,0.71,0.8,0.71,0.8,0.7,0.6,0.52,23,280,8,40,175,87,60,29,0,1.079060772,0.918357769,0.74807713,-0.20395673,0.300858856,-0.523272427
NM,241,105,0.435684647,110610,69989,0.632757319,0.46,0.5,0.38,0.43,0.42,0.6,0.47,0.35,32,11,22,40,11,33,17,42,2,0.874807997,0.085655034,0.708249116,-0.448549489,0.44809615,0.538471228
NV,151,125,0.82781457,161249,153941,0.954681243,0.8,0.92,0.85,0.81,0.75,0.86,0.89,0.83,55,24,17,29,30,37,25,33,0,0.989589168,0.553597731,1.059278087,1.707198083,0.228234294,-1.046975804
