StateAbbv,StateName,P1_StatePlan,P2_Standards,P3_Funding,P4_Certification,P5_PreserviceIncentives,P6_StateCSposition,P7_RequireHStoOffer,P8_CountGradReq,P9_HigherEdAdmission,PctReportedFCS,YearOfLast,NumOfHS,NumHSWithCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Total_Black,Total_HLLL,Total_Native,Total_HPI,Total_White,Total_Asian,Total_TwoPlus,InCSHS_Black,InCSHS_HLLL,InCSHS_Native,InCSHS_HPI,InCSHS_White,InCSHS_Asian,InCSHS_TwoPlus,InFCS_Male,InFCS_Female,InFCS_Other,InFCS_Black,InFCS_HLLL,InFCS_Native,InFCS_HPI,InFCS_White,InFCS_Asian,InFCS_TwoPlus,InFCS_Total,AP_Male,AP_Female,AP_Gender,AP_Black,AP_HLLL,AP_Native,AP_HPI,AP_Asian,AP_White,AP_TwoPlus,AP_Total,,
AK,Alaska,No,Yes,No,No,No,No,No,District Decision,No,0.42,21,296,124,0.418918919,61187,40767,0.666276386,1275,3378,19383,1355,27482,2752,5562,878,2435,9577,982,20710,2151,4034,,,,,,,,,,,,92,16,0,0,9,1,0,14,74,10,108,,
AL,Alabama,In progress,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.81,21,407,332,0.815724816,262216,235770,0.899145492,76691,20210,3516,298,152935,3572,4994,68953,18876,3297,269,136342,3327,4707,7258,4524,,3492,873,305,21,6926,365,285,11782,1387,809,6,338,167,26,1,211,1345,115,2202,,
AR,Arkansas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.92,21,306,283,0.924836601,159278,153710,0.965041995,30041,20161,991,1378,99638,2666,4005,28193,19556,972,1374,97018,2640,3957,7352,2948,,1997,1238,73,36,6233,441,282,10300,897,442,5,122,147,19,1,140,852,63,1344,,
AZ,Arizona,No,Yes,Yes,Yes,No,In Progress,No,District Decision,No,0.38,20,867,333,0.384083045,407289,321193,0.788611084,21091,177979,19272,1301,158381,13992,15273,17259,139482,10465,1000,128653,12148,12186,9511,2462,,641,4420,191,0,5078,836,691,11973,1308,480,0,55,410,17,2,418,775,112,1788,,
CA,California,Yes,Yes,Yes,Yes,No,No,No,District Decision,Yes,0.41,19,2633,1069,0.40600076,2013095,1514876,0.752511115,110434,1087392,11040,9415,472884,233844,87939,77801,777485,6369,7232,370694,206695,68601,,,,,,,,,,,,21923,10312,28,655,7814,116,74,13744,7914,1945,32263,,
CO,Colorado,No,No,Yes,No,No,Yes,No,District Decision,Yes,0.42,21,533,226,0.424015009,323033,213554,0.6610918,14139,108425,2182,870,173362,11236,12819,9960,62962,1331,606,120764,8915,9017,,,,,,,,,,,,1979,718,3,64,395,8,2,379,1732,122,2700,,
CT,Connecticut,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,0.82,20,209,171,0.818181818,169150,150360,0.888917291,24691,41722,434,198,88976,8129,5000,19301,34371,367,154,83762,7891,4515,6772,2188,,941,1733,12,9,4867,1101,297,8960,2485,960,3,144,339,10,2,792,1991,169,3448,,
DC,District of Columbia,No,No,No,Yes,No,No,No,Yes,No,0.37,21,43,16,0.372093023,20826,10580,0.508005973,13887,4315,37,23,1833,342,386,6180,2500,18,14,1406,235,227,,,,,,,,,,,,251,172,1,213,52,2,0,18,113,26,424,,
DE,Delaware,No,Yes,No,No,No,No,Yes,Yes,No,0.55,21,55,30,0.545454545,49864,36733,0.73666908,14714,8110,272,54,22448,2480,1786,9404,5751,167,36,18008,2021,1347,1338,363,,449,185,4,2,803,196,62,1701,401,150,1,68,43,1,0,107,296,37,552,,
FL,Florida,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0.38,21,1280,480,0.375,932983,695364,0.74531249,201076,308793,3107,1470,360529,27234,30774,146504,237030,2010,1138,262898,23089,22696,16554,6745,,3047,7224,69,34,9634,2445,846,23299,9788,4414,28,1200,4598,81,18,1839,5904,591,14230,,
GA,Georgia,Yes,In progress,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.61,21,511,313,0.612524462,544289,455072,0.836084737,196714,85160,1032,598,218486,23790,18509,156761,74600,891,503,183703,22669,15944,13238,4803,,4826,2169,47,22,6806,3553,618,18041,4789,1972,5,737,652,26,7,2102,2955,286,6766,,
